"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 18 21:27:14 UTC 2021","Thu Feb 18 21:27:14 UTC 2021","43","","io.github.ricardorlg.devicefarm.tractor.controller.WhenUploadingArtifactsToDeviceFarm","","","","It should return the last DeviceFarmTractorError returned when fetching upload is still failing after the maximum number of retries",""
"passed","Thu Feb 18 21:27:12 UTC 2021","Thu Feb 18 21:27:12 UTC 2021","4","","io.github.ricardorlg.devicefarm.tractor.runner.DeviceFarmTractorRunnerTest","","","","When running a test in device farm it should use the test project uploaded and the test spec provided",""
"passed","Thu Feb 18 21:27:13 UTC 2021","Thu Feb 18 21:27:13 UTC 2021","1","","io.github.ricardorlg.devicefarm.tractor.utils.HelperMethodsTest","","","","When loading a file from a given path, if the files doesn't exists an error should be returned as a Left",""
"passed","Thu Feb 18 21:27:06 UTC 2021","Thu Feb 18 21:27:06 UTC 2021","29","","io.github.ricardorlg.devicefarm.tractor.controller.services.DefaultDeviceFarmArtifactsHandlerTest","","","","When fetching the artifacts of a test execution any error should be returned as a DeviceFarmTractorError left",""
"passed","Thu Feb 18 21:27:14 UTC 2021","Thu Feb 18 21:27:14 UTC 2021","53","","io.github.ricardorlg.devicefarm.tractor.controller.WhenDownloadingAwsDeviceFarmArtifacts","","","","It should download all the reports even if any of them fails",""
"passed","Thu Feb 18 21:27:13 UTC 2021","Thu Feb 18 21:27:13 UTC 2021","35","","io.github.ricardorlg.devicefarm.tractor.runner.DeviceFarmTractorRunnerTest","","","","When running a test in device farm, it should allow to disable the app performance monitoring",""
"passed","Thu Feb 18 21:27:08 UTC 2021","Thu Feb 18 21:27:08 UTC 2021","105","","io.github.ricardorlg.devicefarm.tractor.controller.services.DefaultDeviceFarmRunsHandlerTest","","","","When fetching all the jobs associated to a Run it should return them as a right",""
"passed","Thu Feb 18 21:27:15 UTC 2021","Thu Feb 18 21:27:15 UTC 2021","2","","io.github.ricardorlg.devicefarm.tractor.controller.WhenWorkingWithDeviceFarmProjects","","","","It should return a DeviceFarmTractorError if something happens fetching device farm projects",""
"passed","Thu Feb 18 21:27:13 UTC 2021","Thu Feb 18 21:27:13 UTC 2021","2","","io.github.ricardorlg.devicefarm.tractor.utils.HelperMethodsTest","","","","When getting the upload type of an unsupported file, an Illegal Argument error should be returned as a left",""
"passed","Thu Feb 18 21:27:13 UTC 2021","Thu Feb 18 21:27:14 UTC 2021","121","","io.github.ricardorlg.devicefarm.tractor.controller.WhenDownloadingAwsDeviceFarmArtifacts","","","","It should log an error message when downloading a recorded video or test report fails",""
